time,term,selected_cui,searched_cui
2017-10-19T01:56:14.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:19.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:22.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:24.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:25.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:28.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:30.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:34.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:36.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:39.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:40.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:42.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:43.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:46.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:49.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:51.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:55.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:57.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:56:58.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:00.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:02.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:04.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:07.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:10.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:11.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:14.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:21.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:22.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:24.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:25.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:27.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:28.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:30.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:33.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:34.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:38.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:40.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:41.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:44.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:46.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:53.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:57.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:57:59.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:58:01.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:58:04.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:58:06.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:58:08.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:58:10.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
2017-10-19T01:58:13.000Z,Hhhjyjhjhjjyjhjyyhhhhjhhhyjjjjjhjjjhyhhyyhhhjjh5hh65yhyyyjyhhh55hyhhjhjhhhhhhyyhhhhhy5y5jhhhjhhhhhhhhhhjhhjhjhjhjyhjhyhyhhhhhhjhyhyyhhy5hhhhhjhhhhhhhhhyjjhyhhjyyjjhjhyjhyjhjyhhhhyjhyhyhhhhjhhjyhhyhjjhhjjhhhhhhhjhhhhh5hhhjhyhhhhhhhjhhhyhhhyhhhyhyyhhjhhhhhy,NULL,NULL
