time,term,selected_cui,searched_cui
2017-10-13T11:06:40.000Z,"Osteoarthritis, knee",C0409959,NULL
2017-10-13T11:07:04.000Z,"Unilateral post-traumatic osteoarthritis of knee",C2893938,NULL
2017-10-13T11:07:13.000Z,"Unilateral post-traumatic osteoarthritis, right knee",C2893940,NULL
2017-10-13T11:08:14.000Z,"Unilateral post-traumatic osteoarthritis, right knee",NULL,C2893940
2017-10-17T14:39:31.000Z,autism,NULL,NULL
2017-10-17T14:39:35.000Z,"autism spectrum",NULL,NULL
2017-10-17T14:39:36.000Z,"Autism spectrum disorders",C1510586,NULL
2017-10-17T14:39:38.000Z,"Autistic Disorder",C0004352,NULL
2017-10-17T14:39:45.000Z,"Active infantile autism",C0338985,NULL
2017-10-17T14:40:06.000Z,"Active infantile autism",NULL,C0338985
2017-10-17T14:43:15.000Z,"Active infantile autism",C0338985,NULL
2017-10-17T14:43:16.000Z,"Autistic Disorder",C0004352,NULL
2017-10-17T14:43:27.000Z,"Autism spectrum disorders",C1510586,NULL
2017-10-17T14:44:05.000Z,"Pervasive Development Disorder",C0524528,NULL
2017-10-17T15:19:30.000Z,"Rett Syndrome, Atypical",C2748910,NULL
2017-10-17T15:19:31.000Z,"Rett Syndrome, Atypical",NULL,C2748910
2017-10-17T15:19:40.000Z,"Rett Syndrome, Atypical",NULL,C2748910
2017-10-17T15:23:23.000Z,"Rett Syndrome, Atypical",C2748910,NULL
2017-10-17T15:23:24.000Z,"Pervasive Development Disorder",C0524528,NULL
2017-10-17T15:23:26.000Z,"Pervasive Development Disorder",NULL,C0524528
2017-10-20T08:15:25.000Z,"lung cancer",NULL,NULL
2017-10-20T08:15:35.000Z,"Stage iii lung cancer",C0862847,NULL
2017-10-20T08:15:40.000Z,"Non-small cell lung cancer stage III",C0278506,NULL
2017-10-20T08:15:42.000Z,"Non-small cell lung cancer stage IIIA",C0278983,NULL
2017-10-20T08:15:44.000Z,"Adenosquamous cell lung cancer stage IIIA",C0862779,NULL
2017-10-13T11:29:56.000Z,Als,NULL,NULL
2017-10-13T11:29:57.000Z,Als,NULL,NULL
2017-10-13T11:29:58.000Z,"Amyotrophic lateral sclerosis",C0002736,NULL
2017-10-13T11:30:57.000Z,Als,NULL,NULL
2017-10-13T11:30:58.000Z,Als,NULL,NULL
2017-10-13T11:30:58.000Z,"Amyotrophic lateral sclerosis",C0002736,NULL
2017-10-13T11:31:01.000Z,"Amyotrophic lateral sclerosis",NULL,NULL
2017-10-13T11:31:04.000Z,"Amyotrophic lateral sclerosis",C0002736,NULL
2017-10-13T11:31:16.000Z,"AMYOTROPHIC LATERAL SCLEROSIS 1",C1862939,NULL
2017-10-13T11:31:24.000Z,"amyotrophic lateral sclerosis als10",C3468101,NULL
2017-10-13T11:32:26.000Z,"amyotrophic lateral sclerosis als10",NULL,C3468101
2017-10-13T12:48:46.000Z,95,NULL,NULL
2017-10-13T12:49:29.000Z,"Glp2r protein, mouse",C4042750,NULL
2017-10-13T12:52:17.000Z,"Glp2r protein, mouse",NULL,NULL
2017-10-13T12:52:21.000Z,"Glp2r protein, mouse",C4042750,NULL
2017-10-13T13:04:42.000Z,3,NULL,NULL
2017-10-13T13:04:42.000Z,"3c syndrome",C0796137,NULL
2017-10-13T13:04:58.000Z,"3c syndrome",NULL,NULL
2017-10-13T13:05:03.000Z,"3c syndrome",C0796137,NULL
2017-10-14T22:50:03.000Z,Pre,NULL,NULL
2017-10-14T22:50:07.000Z,Pregna,NULL,NULL
2017-10-14T22:50:27.000Z,Labout,NULL,NULL
2017-10-14T22:50:29.000Z,Labour,NULL,NULL
2017-10-14T22:50:37.000Z,"Threatened labour",C0152155,NULL
2017-10-14T22:50:48.000Z,"Threatened labour",NULL,C0152155
2017-10-13T12:11:47.000Z,"Thyroid cancer",NULL,NULL
2017-10-13T14:26:16.000Z,SL,NULL,NULL
2017-10-13T14:26:18.000Z,SLE,NULL,NULL
2017-10-13T14:26:19.000Z,S,NULL,NULL
2017-10-13T14:26:35.000Z,SLE,NULL,NULL
2017-10-13T14:26:37.000Z,"SLE nep",NULL,NULL
2017-10-13T14:26:39.000Z,"Lupus nephritis",C0024143,NULL
2017-10-13T14:28:02.000Z,"Lupus nephritis",NULL,C0024143
2017-10-14T06:17:30.000Z,To,NULL,NULL
2017-10-14T06:17:37.000Z,Tocoplasmose,NULL,NULL
2017-10-14T06:17:44.000Z,Toplasmose,NULL,NULL
2017-10-14T06:17:45.000Z,Tocplasmose,NULL,NULL
2017-10-14T06:17:47.000Z,Toplasmose,NULL,NULL
2017-10-14T06:17:48.000Z,Toxplasmose,NULL,NULL
2017-10-14T06:17:49.000Z,Toxoplasmose,NULL,NULL
2017-10-14T06:17:54.000Z,"Ocular toxoplasmosis",C0040561,NULL
2017-10-14T06:18:03.000Z,"Other toxoplasma oculopathy",C2830267,NULL
2017-10-14T13:05:50.000Z,O,NULL,NULL
2017-10-14T13:05:52.000Z,Ovariu,NULL,NULL
2017-10-14T13:06:00.000Z,Ovariu,NULL,NULL
2017-10-14T13:06:01.000Z,Ovari,NULL,NULL
2017-10-14T13:06:04.000Z,Ovaria,NULL,NULL
2017-10-14T13:06:06.000Z,Ovarian,NULL,NULL
2017-10-14T13:06:08.000Z,"Ovarian carcinoma",C0029925,NULL
2017-10-14T13:06:55.000Z,"malignant epithelioma of ovary",C2212005,NULL
2017-10-14T19:15:23.000Z,Sto,NULL,NULL
2017-10-14T19:15:25.000Z,S,NULL,NULL
2017-10-14T19:15:26.000Z,Stom,NULL,NULL
2017-10-14T19:15:34.000Z,Stomach,NULL,NULL
2017-10-14T19:15:35.000Z,Stormachtige,NULL,NULL
2017-10-14T19:16:04.000Z,N,NULL,NULL
2017-10-14T19:16:04.000Z,Na,NULL,NULL
2017-10-14T19:16:05.000Z,Nau,NULL,NULL
2017-10-14T19:16:07.000Z,Nausea,NULL,NULL
2017-10-14T19:16:11.000Z,"Chronic nausea",C0746779,NULL
2017-10-14T19:17:46.000Z,"Chronic nausea",NULL,C0746779
2017-10-14T19:18:05.000Z,"Chronic nausea",NULL,C0746779
2017-10-14T19:19:10.000Z,"Chronic nausea",NULL,C0746779
2017-10-14T19:19:22.000Z,"Chronic nausea",NULL,C0746779
2017-10-17T12:43:01.000Z,Micro,NULL,NULL
2017-10-17T12:43:06.000Z,Hrsft,NULL,NULL
2017-10-17T12:43:07.000Z,Graft,NULL,NULL
2017-10-17T12:43:09.000Z,"Graft versus",NULL,NULL
2017-10-17T12:43:12.000Z,"Graft versus h",NULL,NULL
2017-10-17T12:43:13.000Z,"Graft-vs-host disease",C0018133,NULL
2017-10-17T12:43:17.000Z,"Acute graft-versus-host reaction following bone marrow transplant",C4081640,NULL
